time,Vrain,Vgate,-IR1,IM1
7.826541968187569e-08,2.832322e-02,9.171876e+00,-8.247037e-02,3.219487e-01
7.926541968187534e-08,2.846332e-02,9.104815e+00,-8.201755e-02,3.219563e-01
8.026541968187499e-08,2.860640e-02,9.038150e+00,-8.156021e-02,3.219638e-01
8.126541968187464e-08,2.875256e-02,8.971884e+00,-8.109827e-02,3.219714e-01
8.226541968187429e-08,2.890186e-02,8.906021e+00,-8.063161e-02,3.219789e-01
8.326541968187395e-08,2.905441e-02,8.840569e+00,-8.015990e-02,3.219865e-01
8.426541968187360e-08,2.921032e-02,8.775530e+00,-7.968262e-02,3.219940e-01
8.526541968187325e-08,2.936972e-02,8.710914e+00,-7.919880e-02,3.220015e-01
8.626541968187290e-08,2.953276e-02,8.646732e+00,-7.870672e-02,3.220091e-01
8.726541968187255e-08,2.969961e-02,8.582997e+00,-7.820512e-02,3.220166e-01
8.826541968187220e-08,2.987029e-02,8.519711e+00,-7.769545e-02,3.220240e-01
8.926541968187186e-08,3.004476e-02,8.456869e+00,-7.718076e-02,3.220316e-01
9.026541968187151e-08,3.022301e-02,8.394470e+00,-7.666312e-02,3.220390e-01
9.126541968187116e-08,3.040510e-02,8.332512e+00,-7.614356e-02,3.220465e-01
9.226541968187081e-08,3.059110e-02,8.270994e+00,-7.562278e-02,3.220540e-01
9.326541968187046e-08,3.078110e-02,8.209915e+00,-7.510138e-02,3.220615e-01
9.426541968187011e-08,3.097518e-02,8.149276e+00,-7.457983e-02,3.220689e-01
9.526541968186977e-08,3.117345e-02,8.089073e+00,-7.405850e-02,3.220764e-01
9.626541968186942e-08,3.137601e-02,8.029306e+00,-7.353777e-02,3.220838e-01
9.726541968186907e-08,3.158298e-02,7.969975e+00,-7.301789e-02,3.220913e-01
9.826541968186872e-08,3.179448e-02,7.911076e+00,-7.249913e-02,3.220987e-01
9.926541968186837e-08,3.201064e-02,7.852608e+00,-7.198171e-02,3.221061e-01
1.002654196818680e-07,3.223159e-02,7.794571e+00,-7.146581e-02,3.221135e-01
1.012654196818677e-07,3.245748e-02,7.736962e+00,-7.095157e-02,3.221209e-01
1.022654196818673e-07,3.268846e-02,7.679780e+00,-7.043917e-02,3.221283e-01
1.042654196818666e-07,3.316634e-02,7.566688e+00,-6.942032e-02,3.221431e-01
1.062654196818659e-07,3.366658e-02,7.455279e+00,-6.841010e-02,3.221578e-01
1.082654196818652e-07,3.419070e-02,7.345539e+00,-6.740914e-02,3.221725e-01
1.112654196818642e-07,3.502529e-02,7.184021e+00,-6.592618e-02,3.221944e-01
1.142654196818631e-07,3.592368e-02,7.026164e+00,-6.446651e-02,3.222162e-01
1.172654196818621e-07,3.689316e-02,6.871913e+00,-6.303106e-02,3.222380e-01
1.202654196818611e-07,3.794223e-02,6.721212e+00,-6.162044e-02,3.222596e-01
1.224082768247175e-07,3.873147e-02,6.615758e+00,-6.062820e-02,3.222749e-01
1.245511339675739e-07,3.958410e-02,6.512018e+00,-5.964911e-02,3.222902e-01
1.266939911104303e-07,4.050013e-02,6.409993e+00,-5.868318e-02,3.223054e-01
1.288368482532867e-07,4.147954e-02,6.309683e+00,-5.773041e-02,3.223206e-01
1.309797053961430e-07,4.252235e-02,6.211088e+00,-5.679078e-02,3.223356e-01
1.331225625389994e-07,4.362856e-02,6.114208e+00,-5.586431e-02,3.223505e-01
1.352654196818558e-07,4.479815e-02,6.019042e+00,-5.495100e-02,3.223654e-01
1.382654196818548e-07,4.660970e-02,5.888520e+00,-5.369470e-02,3.223860e-01
1.412654196818537e-07,4.862479e-02,5.761199e+00,-5.246434e-02,3.224063e-01
1.442654196818527e-07,5.087903e-02,5.637043e+00,-5.125992e-02,3.224263e-01
1.472654196818516e-07,5.341671e-02,5.516024e+00,-5.008149e-02,3.224458e-01
1.492654196818510e-07,5.529298e-02,5.437077e+00,-4.931035e-02,3.224586e-01
1.512654196818503e-07,5.733990e-02,5.359513e+00,-4.855085e-02,3.224712e-01
1.532654196818496e-07,5.958134e-02,5.283333e+00,-4.780305e-02,3.224835e-01
1.552654196818489e-07,6.204581e-02,5.208539e+00,-4.706705e-02,3.224954e-01
1.572654196818482e-07,6.476750e-02,5.135141e+00,-4.634298e-02,3.225069e-01
1.592654196818475e-07,6.778792e-02,5.063152e+00,-4.563102e-02,3.225180e-01
1.612654196818468e-07,7.115775e-02,4.992594e+00,-4.493141e-02,3.225284e-01
1.622654196818464e-07,7.299268e-02,4.957861e+00,-4.458633e-02,3.225334e-01
1.632654196818461e-07,7.493954e-02,4.923498e+00,-4.424447e-02,3.225382e-01
