time,Vrain,Vgate,-IR1,IM1
4.059835847579434e-08,4.631558e+01,4.463884e+00,9.453384e-02,2.261044e-02
4.159835847579434e-08,4.596074e+01,4.463757e+00,9.458324e-02,2.183776e-02
4.259835847579434e-08,4.560590e+01,4.463675e+00,9.462743e-02,2.114258e-02
4.359835847579435e-08,4.525108e+01,4.463631e+00,9.466696e-02,2.051291e-02
4.459835847579435e-08,4.489628e+01,4.463620e+00,9.470230e-02,1.994013e-02
4.559835847579435e-08,4.454150e+01,4.463636e+00,9.473388e-02,1.941635e-02
4.659835847579435e-08,4.418677e+01,4.463677e+00,9.476208e-02,1.893595e-02
4.759835847579436e-08,4.383207e+01,4.463739e+00,9.478723e-02,1.849345e-02
4.859835847579436e-08,4.347742e+01,4.463821e+00,9.480964e-02,1.808504e-02
4.959835847579436e-08,4.312282e+01,4.463921e+00,9.482957e-02,1.770678e-02
5.059835847579436e-08,4.276828e+01,4.464036e+00,9.484727e-02,1.735599e-02
5.159835847579437e-08,4.241380e+01,4.464165e+00,9.486297e-02,1.702972e-02
5.259835847579437e-08,4.205940e+01,4.464308e+00,9.487686e-02,1.672605e-02
5.359835847579437e-08,4.170507e+01,4.464464e+00,9.488912e-02,1.644272e-02
5.459835847579437e-08,4.135083e+01,4.464632e+00,9.489990e-02,1.617832e-02
5.559835847579438e-08,4.099668e+01,4.464810e+00,9.490936e-02,1.593106e-02
5.659835847579438e-08,4.064261e+01,4.465000e+00,9.491762e-02,1.569990e-02
5.759835847579438e-08,4.028864e+01,4.465199e+00,9.492479e-02,1.548340e-02
5.859835847579438e-08,3.993477e+01,4.465409e+00,9.493098e-02,1.528077e-02
5.959835847579438e-08,3.958101e+01,4.465627e+00,9.493628e-02,1.509084e-02
6.059835847579438e-08,3.922736e+01,4.465855e+00,9.494078e-02,1.491300e-02
6.159835847579438e-08,3.887382e+01,4.466091e+00,9.494456e-02,1.474629e-02
6.259835847579437e-08,3.852040e+01,4.466335e+00,9.494767e-02,1.459022e-02
